Reference,Final_Value,Footprint,Quantity,Additional_Info,Explanation
M2,Atmega128-SMD,Quad64,1,,The core communications processor managing the RS485 USB and LoRa data routing.
M3,CH340,SOIC-16,1,,USB-to-Serial converter bridging PC data to M2's UART port.
"Q1, Q2",NPN,SOT23,2,"Q1: 546, Q2: 546",Transistors. Q1 controls the UVLO power gating; Q2 acts as the driver for the buzzer.
"R1, R2, R3, R8, R15, R17, R18, R22, R36, R41, R42",1K,R-1206,11,,Base resistors for transistors and current limiting resistors for indicator LEDs.
"R4, R7, R9, R16, R20, R21, R23, R24, R28, R29, R30, R31, R33, R37, R40",10K,R-1206,15,,Broad use pull-up resistors (for reset lines / tactile buttons / RS485 logic) and regulator feedback nodes.
"R5, R19, R27, R39",62K,R-1206,4,,The high-side resistors in the voltage dividers that set the motor regulators output to ~8.85V.
"R6, R14",4K7,R-1206,2,,Failsafe biasing resistors to keep the RS485 bus in a known high state when no nodes are transmitting.
"R10, R12",47,R-1206,2,,Series termination resistors on the RS485 A/B lines to prevent signal reflection.
"R11, R13",JZ,R-1206,2,,Zero-ohm jumper resistors used specifically to bridge copper traces over other routing paths.
"R25, R26, R32, R34",100,R-1206,4,,Series current-limiting resistors protecting the tactile UI buttons from short-circuits.
"R35, R38, R43",1M,R-1206,3,,Parallel feedback resistors for the three crystal oscillators to ensure reliable clock startup.
SW1,SW-DIP01,SW-DIP-01,1,SW1: PRG,DIP switch to physically isolate the USB serial bridge from the internal UART bus to prevent data collisions.
SW2,SET,SW-SPST-4-B,1,SW2: M3,Tactile pushbutton for local hardware user interface (SET).
SW3,UP,SW-SPST-4-B,1,SW3: M1,Tactile pushbutton for local hardware user interface (UP).
SW4,DOWN,SW-SPST-4-B,1,SW4: M2,Tactile pushbutton for local hardware user interface (DOWN).
SW5,ENTER,SW-SPST-4-B,1,SW5: M4,Tactile pushbutton for local hardware user interface (ENTER).
"SW6, SW7",RESET,SW-SPST-4,2,,Hardware reset buttons for the M1 and M2 microcontrollers.
T1,CM Trans,CM_UU9.8,1,T1: *,Common-mode choke to filter out high-frequency switching noise from the incoming 24V supply.
U1,MAX487,SOIC_8,1,,Half-duplex RS485 transceiver driving the long-distance differential network.
"VR1, VR3, VR4, VR5",LM2576-ADJ,TO263_5,4,"VR1: *, VR3: *, VR4: *, VR5: *",Adjustable switching buck regulators generating independent power rails for each of the four motors.
VR2,LM2576-5V,TO263_5,1,VR2: *,Fixed 5V switching buck regulator powering all localized logic and microcontrollers.
"Y1, Y2",Crystal 16 MHz,Crystal 16MHz DIP Code = ABL-16.000MHZ-B2,2,,Main hardware clock sources for the M1 and M2 microcontrollers.
Y3,Crystal 12 MHz,Crystal 12MHz DIP Code = 3155-12M20P2/49US-ND,1,,Dedicated hardware clock source for the CH340 USB bridge chip.
